species,latitude,longitude
species_01,18.4389,-95.96575
species_01,18.39888889,-94.77444444
species_01,18.39888889,-94.77444444
species_01,18.56246667,-95.04635
species_01,18.56246667,-95.04635
species_01,18.58333333,-95.11666667
species_01,18.58333333,-95.11666667
species_01,18.58333333,-95.11666667
species_01,18.58333333,-95.11666667
species_01,18.58333333,-95.11666667
species_01,18.58333333,-95.11666667
species_01,18.58333333,-95.11666667
species_01,18.58333333,-95.11666667
species_01,18.35833333,-94.76666667
species_01,18.35,-94.76666667
species_01,18.58333333,-95.11666667
species_01,18.58333333,-95.11666667
species_01,18.58333333,-95.11666667
species_01,18.58333333,-95.11666667
species_01,18.58333333,-95.11666667
species_01,18.58333333,-95.11666667
species_01,18.36666667,-94.75
species_01,18.36666667,-94.75
species_01,17.225,-94.50833333
species_01,17.24916944,-94.58721944
species_01,18.37666667,-94.79527778
species_01,18.31944444,-94.75
species_01,18.56666,-95.06666
species_01,18.319444,-94.75
species_01,18.366667,-94.75
species_01,18.3673497,-94.7502773
species_01,18.366667,-94.751111
species_01,18.358333,-94.766667
species_01,18.398889,-94.774444
species_01,18.399452,-94.775277
species_01,18.363611,-94.805555
species_01,18.3642907,-94.8055576
species_01,18.5631376,-95.0463539
species_01,18.566667,-95.066667
species_01,18.585,-95.07
species_01,18.584722,-95.073889
species_01,18.575,-95.075
species_01,18.416667,-95.116667
species_01,18.444167,-95
